C:\Users\RACHIT SINGH\Desktop\IMG\center_2018_11_01_21_14_25_806.jpg,C:\Users\RACHIT SINGH\Desktop\IMG\left_2018_11_01_21_14_25_806.jpg,C:\Users\RACHIT SINGH\Desktop\IMG\right_2018_11_01_21_14_25_806.jpg,0,1,0,12.00402
C:\Users\RACHIT SINGH\Desktop\IMG\center_2018_11_01_21_14_25_879.jpg,C:\Users\RACHIT SINGH\Desktop\IMG\left_2018_11_01_21_14_25_879.jpg,C:\Users\RACHIT SINGH\Desktop\IMG\right_2018_11_01_21_14_25_879.jpg,0,1,0,13.14823
C:\Users\RACHIT SINGH\Desktop\IMG\center_2018_11_01_21_14_25_949.jpg,C:\Users\RACHIT SINGH\Desktop\IMG\left_2018_11_01_21_14_25_949.jpg,C:\Users\RACHIT SINGH\Desktop\IMG\right_2018_11_01_21_14_25_949.jpg,0,1,0,13.9452
C:\Users\RACHIT SINGH\Desktop\IMG\center_2018_11_01_21_14_26_019.jpg,C:\Users\RACHIT SINGH\Desktop\IMG\left_2018_11_01_21_14_26_019.jpg,C:\Users\RACHIT SINGH\Desktop\IMG\right_2018_11_01_21_14_26_019.jpg,0,1,0,14.64769
C:\Users\RACHIT SINGH\Desktop\IMG\center_2018_11_01_21_14_26_086.jpg,C:\Users\RACHIT SINGH\Desktop\IMG\left_2018_11_01_21_14_26_086.jpg,C:\Users\RACHIT SINGH\Desktop\IMG\right_2018_11_01_21_14_26_086.jpg,0,1,0,15.22092
C:\Users\RACHIT SINGH\Desktop\IMG\center_2018_11_01_21_14_26_160.jpg,C:\Users\RACHIT SINGH\Desktop\IMG\left_2018_11_01_21_14_26_160.jpg,C:\Users\RACHIT SINGH\Desktop\IMG\right_2018_11_01_21_14_26_160.jpg,-0.1,1,0,16.07526
C:\Users\RACHIT SINGH\Desktop\IMG\center_2018_11_01_21_14_26_234.jpg,C:\Users\RACHIT SINGH\Desktop\IMG\left_2018_11_01_21_14_26_234.jpg,C:\Users\RACHIT SINGH\Desktop\IMG\right_2018_11_01_21_14_26_234.jpg,-0.3,1,0,16.88883
C:\Users\RACHIT SINGH\Desktop\IMG\center_2018_11_01_21_14_26_309.jpg,C:\Users\RACHIT SINGH\Desktop\IMG\left_2018_11_01_21_14_26_309.jpg,C:\Users\RACHIT SINGH\Desktop\IMG\right_2018_11_01_21_14_26_309.jpg,0,1,0,17.68568
C:\Users\RACHIT SINGH\Desktop\IMG\center_2018_11_01_21_14_26_382.jpg,C:\Users\RACHIT SINGH\Desktop\IMG\left_2018_11_01_21_14_26_382.jpg,C:\Users\RACHIT SINGH\Desktop\IMG\right_2018_11_01_21_14_26_382.jpg,0,1,0,18.31915
C:\Users\RACHIT SINGH\Desktop\IMG\center_2018_11_01_21_14_26_454.jpg,C:\Users\RACHIT SINGH\Desktop\IMG\left_2018_11_01_21_14_26_454.jpg,C:\Users\RACHIT SINGH\Desktop\IMG\right_2018_11_01_21_14_26_454.jpg,0,1,0,19.13427
